ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.9669,5.7019,8.0176,-0.9174,5.6174,7.9858,-0.0623,-0.0123,-0.0531,-0.0101,-0.0223,0.0038,846,8.22,-44.02,-5.15,192.71,-34.95,6.55,5,55.523,,,,NaN,,,,0 / 0,10,2018-03-09 09:04:06:916
-0.9725,5.6053,8.188,-0.9214,5.5652,8.0219,-0.0047,0.0178,-0.0896,-0.0284,0.0011,0.0088,857,5.12,-41.23,-5.73,188.11,-34.58,6.55,5,59.184,,,,NaN,,,,0 / 0,509,2018-03-09 09:04:07:415
-0.9593,5.5483,8.2247,-0.8967,5.5187,8.0567,0.0978,-0.0432,-0.0517,0.0176,-0.0365,0.0166,864,7.53,-42.85,-6.28,192.95,-34.25,6.35,5,56.725,,,,NaN,,,,0 / 0,1009,2018-03-09 09:04:07:915
-0.8189,5.5694,8.0795,-0.8589,5.5573,8.0343,-0.016,0.0202,0.0125,0.0178,-0.0058,0.0125,866,7.75,-42.5,-6.91,193.42,-34.45,6.09,5,57.552,,,,NaN,,,,0 / 0,1509,2018-03-09 09:04:08:415
-0.8755,5.2167,8.6728,-1.0106,5.1937,8.2568,0.2481,-0.1956,0.3001,-0.052,0.0929,0.0287,889,7.01,-42.57,-8.03,190.9,-32.76,6.48,5,45.84,,,,NaN,,,,0 / 0,2008,2018-03-09 09:04:08:914
-1.3089,5.1405,8.3763,-1.1418,5.1931,8.24,-0.0896,-0.0537,0.0091,0.0611,0.149,0.0294,952,5.66,-41.82,-7.12,188.98,-31.98,7.89,5,56.547,,,,NaN,,,,0 / 0,2509,2018-03-09 09:04:09:415
-1.3504,5.417,8.6118,-1.1556,5.2566,8.1977,0.1436,-0.0714,-0.1301,-0.0889,0.0075,-0.0281,929,6.41,-43.76,-6,188.69,-32.95,8.24,5,59.884,,,,NaN,,,,0 / 0,3009,2018-03-09 09:04:09:915
-1.1082,5.3807,8.3193,-1.0205,5.3898,8.1289,0.0687,-0.069,0.0765,0.0155,0.0126,-0.018,931,6.71,-43.35,-6.54,190.87,-33.34,7.16,5,58.813,,,,NaN,,,,0 / 0,3510,2018-03-09 09:04:10:416
-1.4557,5.822,8.1221,-0.8793,5.4386,8.1129,-0.1357,0.2069,-0.0864,0.0487,0.0553,0.1727,943,4.84,-43.02,-6.89,187.6,-33.68,6.19,5,57.328,,,,NaN,,,,0 / 0,4009,2018-03-09 09:04:10:915
0.292,5.4333,7.6784,0.0742,5.5703,8.0707,0.2083,-0.488,-0.4926,0.2378,-0.4765,-0.1316,978,1.07,-43.99,-6.65,181.89,-34.61,-0.53,5,51.705,,,,NaN,,,,0 / 0,4509,2018-03-09 09:04:11:415
0.0774,5.6017,8.2367,0.1699,5.3208,8.2359,-0.0279,-0.0428,0.4262,-0.0628,-0.0326,-0.0107,919,2.14,-43.97,-8.39,183.87,-34.35,-1.08,5,48.39,,,,NaN,,,,0 / 0,5009,2018-03-09 09:04:11:915
0.1137,5.2215,8.4921,0.073,5.2924,8.2557,0.0152,-0.0284,-0.0784,0.0615,0.029,-0.0139,970,4.21,-43.52,-9.9,187.39,-32.32,-0.76,5,58.846,,,,NaN,,,,0 / 0,5508,2018-03-09 09:04:12:414
0.1077,5.3444,8.5052,-0.0586,5.5304,8.0982,0.0068,-0.0934,-0.0246,0.2033,0.0581,-0.0437,931,4.59,-43.39,-7.49,188.86,-33.17,-0.1,5,61.091,,,,NaN,,,,0 / 0,6009,2018-03-09 09:04:12:915
-0.1932,5.6069,7.9258,-0.1182,5.5711,8.0697,0.0143,-0.0301,5.00E-04,-0.0157,0.0025,-0.012,908,6.21,-43.94,-5.68,190.23,-34.62,0.84,5,55.56,,,,NaN,,,,0 / 0,6509,2018-03-09 09:04:13:415
-0.3309,5.583,8.2103,-0.2057,5.479,8.1307,0.0684,-0.1089,-0.035,0.1178,0.0613,-0.0233,926,6.1,-43.58,-8.17,190.26,-33.24,1.02,5,53.787,,,,NaN,,,,0 / 0,7009,2018-03-09 09:04:13:915
-0.8209,5.5535,8.2885,-0.7387,5.4537,8.1168,-0.1678,0.0608,-0.0243,-0.1093,0.1479,0.1292,895,2.73,-43.31,-6.42,184.33,-33.79,5.2,5,55.017,,,,NaN,,,,0 / 0,7509,2018-03-09 09:04:14:415
-1.257,3.9326,8.6469,-1.0506,3.9896,8.8966,0.5169,0.3169,-0.393,-1.0821,0.3136,-0.2877,940,-4.79,-42.28,-16.04,167.98,-24.01,6.74,5,61.207,,,,NaN,,,,0 / 0,8010,2018-03-09 09:04:14:916
-3.4645,5.267,7.1198,-3.316,5.0962,7.6944,-0.0978,-0.1947,-0.6279,0.2135,-0.7641,0.6112,795,-11.23,-42.07,-15.06,152.63,-31.31,23.31,5,38.874,,,,NaN,,,,0 / 0,8509,2018-03-09 09:04:15:415
4.0122,5.3041,5.9362,3.9455,5.4705,7.1188,0.0605,0.1269,-0.7804,-0.2093,0.1467,-0.298,848,-19.27,-43.07,-2.81,152.58,-33.73,-29.15,5,56.45,,,,NaN,,,,0 / 0,9009,2018-03-09 09:04:15:915
1.3184,5.0962,7.1796,0.5678,4.0536,8.9116,0.2776,0.3328,0.2484,-1.1391,1.3599,0.1081,961,-20.39,-39.91,-12.22,147.11,-31.37,-13.81,5,55.768,,,,NaN,,,,0 / 0,9509,2018-03-09 09:04:16:415
-1.8624,2.6561,10.4681,-1.3027,1.8889,9.5344,-0.691,0.5148,-0.4007,-0.4635,-0.2238,0.4003,1158,-14.94,-34.74,-24.64,146.68,-14.09,9.05,5,51.646,,,,NaN,,,,0 / 0,10009,2018-03-09 09:04:16:915
0.2486,-0.9707,9.9178,0.3327,-1.0427,9.7454,-0.1343,0.5683,0.3385,-0.5054,-0.1132,-0.0043,1238,-19.58,-25.47,-22.8,144.95,6.1,-1.96,5,56.188,,,,NaN,,,,0 / 0,10509,2018-03-09 09:04:17:415
-1.1086,-0.0482,9.9481,-0.7158,-0.4605,9.7696,0.3756,-0.084,0.7105,1.005,1.0165,0.0942,1233,-17.01,-24.48,-28.12,149.06,6.79,-1.42,5,59.83,,,,NaN,,,,0 / 0,11009,2018-03-09 09:04:17:915
0.486,4.0016,7.8348,0.217,4.0795,8.9152,-1.919,-0.5944,0.8122,0.5259,-3.0624,0.1347,1143,-16.08,-37.85,-19.62,149.26,-24.58,-1.39,5,55.104,,,,NaN,,,,0 / 0,11509,2018-03-09 09:04:18:415
-2.1125,2.5635,10.4258,-1.3963,2.5346,9.37,0.5764,0.0375,0.7984,-0.6189,1.6359,-0.3788,1180,-7.64,-40.03,-20.83,161.85,-14.98,8.48,5,60.018,,,,NaN,,,,0 / 0,12009,2018-03-09 09:04:18:915
0.065,4.8388,8.4717,0.0627,4.8015,8.5506,-0.0366,0.1696,-0.4173,0.1792,0.222,0.0086,1056,-4.87,-43.85,-13.77,171.16,-29.32,-0.42,5,57.026,,,,NaN,,,,0 / 0,12509,2018-03-09 09:04:19:415
-0.3955,4.6389,8.7845,-0.3525,4.5593,8.6752,0.0937,0.0243,-0.0929,-0.1175,0.0712,-0.0572,1019,-5.54,-43.35,-11.58,168.74,-28.44,1.98,5,56.03,,,,NaN,,,,0 / 0,13008,2018-03-09 09:04:19:914
-0.4574,3.9601,8.9869,-0.429,4.046,8.9228,-0.0751,-0.0223,0.1976,0.0904,-0.0312,0.0422,1087,-5.75,-42.15,-11.87,169.07,-23.9,2.4,5,53.362,,,,NaN,,,,0 / 0,13509,2018-03-09 09:04:20:415
-1.1213,3.9893,8.9916,-1.138,4.0532,8.857,-0.0558,-0.1508,0.3199,-0.0127,-0.0039,-0.0033,1044,-4.08,-41.91,-14.33,170.06,-24.87,7.05,5,54.453,,,,NaN,,,,0 / 0,14009,2018-03-09 09:04:20:915
-1.1193,4.093,8.9118,-1.1412,4.1117,8.8296,-0.0756,0.0225,-0.0788,-0.017,0.0141,0.009,1040,-4.49,-42.61,-13.85,170.22,-24.79,7.36,5,56.595,,,,NaN,,,,0 / 0,14508,2018-03-09 09:04:21:414
-1.2207,4.0631,8.909,-1.2417,4.0304,8.8535,-0.0376,-0.1116,0.0947,-0.0225,-0.0262,-2.00E-04,1053,-5.23,-42.32,-15.38,167.74,-24.51,7.95,5,58.354,,,,NaN,,,,0 / 0,15009,2018-03-09 09:04:21:915
-1.1852,3.7838,9.0683,-1.2163,3.8737,8.9267,-0.021,0.0579,-0.0263,-0.1835,-0.0296,0.034,1062,-2.96,-41.59,-15.74,171.02,-23.27,7.76,5,53.908,,,,NaN,,,,0 / 0,15508,2018-03-09 09:04:22:414
-0.8803,3.4737,9.0854,-0.7875,3.2648,9.2137,-0.3467,0.2719,-0.056,0.1376,0.0146,0.1846,1161,-6.71,-42.17,-18.48,165.88,-19.45,4.89,5,52.558,,,,NaN,,,,0 / 0,16010,2018-03-09 09:04:22:916
0.5207,4.3224,8.66,0.5624,4.0699,8.9045,0.1578,-0.9596,1.4054,1.0477,-0.9319,0.5757,1102,-14.79,-41.31,-10.73,156.19,-24.52,-3.61,5,48.318,,,,NaN,,,,0 / 0,16509,2018-03-09 09:04:23:415
-8.0557,-0.3949,9.4374,-2.4748,1.9132,9.2944,-0.5337,-1.6769,-9.6143,-0.4884,-7.8588,-0.0141,1103,11.6,-32.28,-24.91,165.27,2.02,43.82,5,56.824,,,,NaN,,,,0 / 0,17009,2018-03-09 09:04:23:915
-2.6576,2.4043,9.2039,-2.1883,1.8392,9.3808,0.4672,-0.0168,-0.0165,-0.4534,-0.2565,0.6945,1165,-1.96,-34.47,-21.47,166.99,-11.61,13.27,5,65.211,,,,NaN,,,,0 / 0,17510,2018-03-09 09:04:24:416
-1.5176,-0.794,8.941,0.3953,-0.0034,9.7987,-3.2782,-0.1031,2.5732,0.5293,-0.4591,0.8697,1294,-55.35,-34.21,-39.26,122.5,0.02,-2.31,5,59.397,,,,NaN,,,,0 / 0,18008,2018-03-09 09:04:24:914
-0.0507,0.295,9.7953,-0.0355,0.268,9.8029,0.0126,0.032,0.1071,6.00E-04,-0.0026,8.00E-04,1309,-14.93,-23.04,-28.36,145.81,-1.57,0.21,5,58.968,,,,NaN,,,,0 / 0,18508,2018-03-09 09:04:25:414
0.211,0.0145,9.7713,-0.0281,0.3041,9.8019,-0.3437,0.0857,0.0479,0.0016,8.00E-04,0.6973,1309,-18.21,-23.41,-25.61,140.88,-1.7,0.16,5,53.914,,,,NaN,,,,0 / 0,19008,2018-03-09 09:04:25:914
-0.038,0.2998,9.7769,-0.0016,0.3013,9.802,-0.032,0.0095,0.0417,0.0016,-0.0015,7.00E-04,1310,-22.78,-14.69,-27.55,121.56,-1.76,0.01,5,36.409,,,,NaN,,,,0 / 0,19509,2018-03-09 09:04:26:415
-0.0352,0.301,9.7821,-0.0168,0.3054,9.8019,-0.0153,-0.0025,0.0234,0.002,-0.001,7.00E-04,1312,-23.86,-13.39,-27.25,116.81,-1.78,0.1,5,63.215,,,,NaN,,,,0 / 0,20009,2018-03-09 09:04:26:915
-0.844,0.3253,11.571,-1.3832,1.8988,9.5211,0.1162,-0.8345,1.25,1.6615,0.5975,0.1068,1310,-16.1,-16.91,-27.88,133.87,-1,2.46,5,40.742,,,,NaN,,,,0 / 0,20510,2018-03-09 09:04:27:416
-1.8775,7.8998,5.3241,-0.9311,8.7424,4.3444,0.1012,-0.6008,-0.0235,1.0195,-0.6325,0.2799,358,-15.69,-22.04,-3.95,128.92,-55.49,17.54,5,52.488,,,,NaN,,,,0 / 0,21009,2018-03-09 09:04:27:915
0.4943,8.8966,3.9391,0.1287,8.7882,4.3499,-0.3408,0.1769,0.3791,-0.3486,-0.177,-0.0547,222,-13.42,-25.22,8.42,142.14,-66.3,-1.69,5,51.655,,,,NaN,,,,0 / 0,21510,2018-03-09 09:04:28:416
0.0179,8.5977,4.9985,0.1199,8.5419,4.8158,0.0843,0.0342,0.0636,-0.1031,0.04,-0.0091,320,-13.28,-24.71,8.2,145.17,-60.58,-1.43,5,46.721,,,,NaN,,,,0 / 0,22010,2018-03-09 09:04:28:916
0.8607,6.8396,6.771,0.1282,7.1838,6.6743,-0.1166,0.3455,0.0113,-0.9612,-0.0751,0.0362,488,-14.84,-26.89,-0.2,140.46,-47.1,-1.1,5,48.108,,,,NaN,,,,0 / 0,22510,2018-03-09 09:04:29:416
-0.3121,0.7359,11.2921,-0.0349,0.7856,9.7751,0.2215,0.1687,0.4507,-1.3282,-0.0134,-0.1966,1186,-13.73,-25.74,-19.01,145.37,-14.79,0.05,5,54.327,,,,NaN,,,,0 / 0,23009,2018-03-09 09:04:29:915
-0.0443,0.2918,9.7761,-0.0378,0.2834,9.8025,0.0018,0.0261,-0.0177,0.0015,-0.0023,0.001,1318,-14.24,-22.38,-27.07,146.38,-1.66,0.22,5,44.39,,,,NaN,,,,0 / 0,23510,2018-03-09 09:04:30:416
-0.0471,0.3022,9.7817,-0.0378,0.2961,9.8021,-0.011,-0.0041,-0.0095,0.0022,-0.0015,7.00E-04,1315,-12.32,-21.19,-26.37,149.09,-1.73,0.22,5,37.326,,,,NaN,,,,0 / 0,24009,2018-03-09 09:04:30:915
-0.0316,0.3026,9.7881,-0.0365,0.3047,9.8018,-0.0099,-0.0029,5.00E-04,0.0022,-0.0012,0.0012,1313,-11.89,-24,-27.57,152.37,-1.77,0.22,5,38.136,,,,NaN,,,,0 / 0,24509,2018-03-09 09:04:31:415
-0.0264,0.2986,9.7769,-0.0347,0.3061,9.8018,-0.0197,-0.0085,-0.0066,0.0013,-0.0021,0.0014,1313,-13.23,-24.07,-27.36,150.5,-1.79,0.21,5,36.881,,,,NaN,,,,0 / 0,25008,2018-03-09 09:04:31:914
-0.038,0.299,9.7961,-0.0357,0.3101,9.8017,-0.0127,0.0014,0.0026,0.002,-0.0017,1.00E-04,1313,-13.95,-22.35,-26.97,146.3,-1.8,0.21,5,36.889,,,,NaN,,,,0 / 0,25510,2018-03-09 09:04:32:416
-0.0384,0.3006,9.7825,-0.0372,0.3079,9.8017,-0.0096,-0.0048,-0.0011,0.0018,-0.0014,0.0012,1313,-14,-23.4,-26.76,147.51,-1.8,0.22,5,37.429,,,,NaN,,,,0 / 0,26009,2018-03-09 09:04:32:915
-0.0368,0.3014,9.7925,-0.0367,0.3072,9.8018,-0.0089,-0.0181,-0.0037,0.0015,-0.0021,5.00E-04,1313,-12.37,-22.71,-24.65,151.43,-1.79,0.21,5,53.505,,,,NaN,,,,0 / 0,26508,2018-03-09 09:04:33:414
-0.0699,0.3034,9.7977,-0.0348,0.3072,9.8018,0.0103,-0.0158,0.0079,0.002,-5.00E-04,7.00E-04,1312,-14.2,-22.41,-25.88,146.36,-1.8,0.2,5,36.991,,,,NaN,,,,0 / 0,27009,2018-03-09 09:04:33:915
-0.0268,0.293,9.7929,-0.0382,0.3076,9.8018,-0.0133,-0.0042,0.0022,0.0024,-0.001,0.001,1312,-12.9,-23.8,-26.92,150.48,-1.8,0.22,5,53.039,,,,NaN,,,,0 / 0,27509,2018-03-09 09:04:34:415
-0.0268,0.3034,9.7793,-0.0371,0.3079,9.8017,-0.0185,-0.0153,2.00E-04,0.0018,-0.0017,7.00E-04,1313,-12.53,-22.81,-27.46,149.39,-1.8,0.22,5,37.025,,,,NaN,,,,0 / 0,28009,2018-03-09 09:04:34:915
-0.0455,0.2998,9.7861,-0.0382,0.305,9.8018,-0.0022,-0.0131,-0.0024,0.0015,-8.00E-04,0.0017,1313,-13.15,-22.13,-28.29,148.17,-1.78,0.22,5,35.886,,,,NaN,,,,0 / 0,28508,2018-03-09 09:04:35:414
-0.0551,0.2874,9.7937,-0.0411,0.3005,9.802,0.0015,0.0026,-1.00E-04,-2.00E-04,0,1.00E-04,1313,-14.48,-24.46,-26.98,148.65,-1.76,0.23,5,51.39,,,,NaN,,,,0 / 0,29008,2018-03-09 09:04:35:914
-0.0324,0.2958,9.7885,-0.0403,0.3015,9.8019,0.0075,0.0019,-0.0018,1.00E-04,-3.00E-04,-5.00E-04,1318,-12.97,-24.28,-26.44,150.53,-1.76,0.23,5,36.69,,,,NaN,,,,0 / 0,29509,2018-03-09 09:04:36:415
-0.036,0.2954,9.7917,-0.0425,0.2986,9.802,0.0152,-4.00E-04,-0.0061,-2.00E-04,6.00E-04,-5.00E-04,1312,-13.53,-23.2,-26.66,147.51,-1.74,0.25,5,37.711,,,,NaN,,,,0 / 0,30009,2018-03-09 09:04:36:915
-0.0443,0.2978,9.7865,-0.0421,0.2991,9.802,0.0072,0.0083,-0.0017,0,-1.00E-04,1.00E-04,1312,-14.01,-23.45,-28.45,147.47,-1.75,0.25,5,38.102,,,,NaN,,,,0 / 0,30509,2018-03-09 09:04:37:415
-0.0388,0.2962,9.7897,-0.0433,0.2985,9.802,0.0109,-0.0019,0.0064,1.00E-04,0,4.00E-04,1312,-14.43,-22.6,-28.07,147.46,-1.74,0.26,5,36.441,,,,NaN,,,,0 / 0,31009,2018-03-09 09:04:37:915
-0.0591,0.2922,9.7913,-0.0426,0.2979,9.802,0.0122,0,0.0055,-2.00E-04,0.0011,0,1313,-12.92,-23.37,-26.54,149.39,-1.74,0.25,5,55.644,,,,NaN,,,,0 / 0,31509,2018-03-09 09:04:38:415
-0.0352,0.2978,9.7785,-0.0427,0.2965,9.8021,-0.0029,0.0039,-0.0019,-7.00E-04,6.00E-04,6.00E-04,1318,-13.84,-24.35,-28.38,148.61,-1.73,0.25,5,61.636,,,,NaN,,,,0 / 0,32009,2018-03-09 09:04:38:915
-0.0332,0.2986,9.7865,-0.0402,0.2973,9.8021,-0.0046,-0.003,-7.00E-04,3.00E-04,-1.00E-04,0,1312,-15.52,-23.55,-26.46,145.23,-1.74,0.24,5,54.61,,,,NaN,,,,0 / 0,32509,2018-03-09 09:04:39:415
-0.0535,0.303,9.7869,-0.039,0.2978,9.8021,0.0129,0.0057,-0.0063,3.00E-04,6.00E-04,-7.00E-04,1312,-13.78,-22.99,-27.24,147.54,-1.73,0.23,5,55.843,,,,NaN,,,,0 / 0,33009,2018-03-09 09:04:39:915
-0.03,0.2974,9.7957,-0.0404,0.2977,9.802,0.0076,-0.0035,-0.0077,-6.00E-04,-3.00E-04,8.00E-04,1318,-12.23,-23.96,-26.99,152.4,-1.74,0.24,5,61.103,,,,NaN,,,,0 / 0,33509,2018-03-09 09:04:40:415
-0.0563,0.2978,9.7893,-0.0405,0.2972,9.8021,0.0085,-6.00E-04,-0.0032,5.00E-04,2.00E-04,4.00E-04,1313,-14.62,-24.29,-27.54,146.85,-1.74,0.24,5,62.259,,,,NaN,,,,0 / 0,34009,2018-03-09 09:04:40:915
