ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,YYYY-MO-DD HH-MI-SS_SSS
0.917,3.008,7.86,-0.062,2.499,9.483,0.965,0.583,-1.385,-0.324,-0.097,0.007,57,3,18.4,-32.9,353.8,-16.8,0.1,2,37.06,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,10,2018-03-12 11:35:16:784
-0.524,1.246,11.494,-0.158,2.419,9.502,-0.227,-1.118,-1.083,-0.007,-0.33,0.056,24,0.1,9.6,-32.6,1.8,-14.3,1,2,38.2,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,509,2018-03-12 11:35:17:283
0.043,3.391,13.515,0.366,2.225,9.544,0.088,1.024,0.308,0.545,-0.054,-0.496,12,-2.7,19.1,-29,3.9,-11.4,-2.6,2,38.8,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,1009,2018-03-12 11:35:17:783
0.729,3.178,9.026,0.035,2.312,9.53,0.73,0.972,-0.329,-0.105,0.029,0.307,22,-3.5,7.9,-40.5,12.2,-12.2,-0.7,2,39.68,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,1509,2018-03-12 11:35:18:283
-0.462,2.384,9.273,-0.275,3.174,9.275,-0.638,-0.612,-0.751,-0.025,-0.243,0.038,19,-3.7,4,-38.6,17.5,-18.9,1.7,2,39.94,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,2009,2018-03-12 11:35:18:783
1.156,2.138,8.709,0.184,2.794,9.398,1.349,-1.473,-1.028,0.63,-0.382,-0.436,34,-9,2.7,-40.5,29.8,-16.6,-1.1,2,38.89,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,2509,2018-03-12 11:35:19:283
-0.651,4.94,8.964,-0.246,3.119,9.294,-0.237,1.347,0.057,0.054,0.192,0.457,27,-10.1,1.6,-43.5,37.7,-17.1,1.9,2,38.54,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,3010,2018-03-12 11:35:19:784
-0.561,4.266,7.729,0.268,3.612,9.113,-0.248,0.863,-0.418,-0.145,-0.256,-0.118,21,-8.3,-3.3,-48.3,26.5,-22.3,-0.4,2,39,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,3509,2018-03-12 11:35:20:283
-0.274,2.896,8.84,0.328,3.669,9.089,-0.29,-0.795,-0.238,0.111,0.187,0.08,16,-13.1,-4.9,-52,36.6,-22,-2.1,2,39.55,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,4010,2018-03-12 11:35:20:784
-0.427,3.02,13.183,0.342,2.933,9.352,-0.758,0.454,3.068,-0.291,-0.208,0.482,12,-15,-5.1,-59.4,44.6,-17.4,-2.1,2,39.69,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,4510,2018-03-12 11:35:21:284
-0.043,3.355,8.832,0.377,2.875,9.368,-0.412,0.512,-0.489,-0.227,0.082,0.114,9,-16,-1.1,-65.6,35.7,-17,-2.3,2,38.65,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,5010,2018-03-12 11:35:21:784
0.713,2.362,7.695,0.424,2.794,9.391,0.105,-0.212,-1.313,0.074,0.27,0.219,6,-20,-9.2,-64.7,59.3,-16.6,-2.6,2,39.6,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,5509,2018-03-12 11:35:22:283
-0.326,2.743,7.915,0.362,3.236,9.25,-0.486,-0.689,-0.281,0.137,-0.074,0.794,6,-17.9,-7.9,-63.7,51.9,-18.2,-1.8,2,38.87,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,6009,2018-03-12 11:35:22:783
1.972,2.192,7.792,1.188,3.25,9.176,0.518,-1.378,-0.737,0.919,-0.387,0.773,6,-15.8,-10.9,-62.7,35.2,-19.4,-7.4,2,42.3,35.77281,-78.6779,263.5,NaN,,69.46129,,0 / 19,6510,2018-03-12 11:35:23:284
